"ID";"DATE";"PRECIPITATION";"WINDSPEED";"SNOW";"PRESSURE";"TEMP_MAX";"TEMP_MIN";"TEMP_AVG";"TOTAL_SUNSHINE";"GUST";"WINDDIR";"LOCATION_ID"
138;"2015-05-18";3.1;14.0;0.0;1007.5;15.9;6.0;11.1;20;0.0;0;1
139;"2015-05-19";2.4;18.0;0.0;1003.5;14.9;5.6;10.0;304;0.0;0;1
140;"2015-05-20";3.3;12.0;0.0;1011.8;14.2;5.6;9.5;438;0.0;0;1
141;"2015-05-21";0.1;10.0;0.0;1022.3;16.7;5.8;10.8;259;0.0;0;1
142;"2015-05-22";0.0;9.0;0.0;1023.0;20.0;5.9;13.8;395;0.0;0;1
143;"2015-05-23";1.1;11.0;0.0;1020.9;15.4;4.6;11.4;339;0.0;0;1
144;"2015-05-24";0.0;6.0;0.0;1018.1;19.6;2.7;12.0;868;0.0;0;1
145;"2015-05-25";0.2;11.0;0.0;1014.0;15.3;9.1;12.1;137;0.0;0;1
146;"2015-05-26";1.1;12.0;0.0;1018.4;14.0;6.5;10.0;143;0.0;0;1
147;"2015-05-27";0.0;11.0;0.0;1019.9;15.8;8.3;12.4;59;0.0;0;1
148;"2015-05-28";2.6;15.0;0.0;1011.1;16.0;5.0;12.1;252;0.0;0;1
149;"2015-05-29";0.2;15.0;0.0;1007.0;17.4;4.0;11.1;155;0.0;0;1
150;"2015-05-30";3.8;15.0;0.0;1010.2;13.8;5.2;9.6;505;0.0;0;1
151;"2015-05-31";6.5;15.0;0.0;1008.6;18.1;4.4;12.1;31;0.0;0;1
152;"2015-06-01";0.0;12.0;0.0;1013.0;16.2;7.9;12.0;435;0.0;0;1
153;"2015-06-02";0.1;27.0;0.0;1007.3;18.1;11.0;14.9;18;0.0;0;1
154;"2015-06-03";0.1;17.0;0.0;1018.5;18.4;6.5;14.3;329;0.0;0;1
155;"2015-06-04";0.0;7.0;0.0;1026.5;20.9;4.3;14.0;911;0.0;0;1
156;"2015-06-05";8.5;11.0;0.0;1017.4;30.5;10.2;21.4;785;0.0;0;1
157;"2015-06-06";0.0;15.0;0.0;1020.7;20.0;7.5;16.8;589;0.0;0;1
158;"2015-06-07";0.0;10.0;0.0;1028.0;19.5;6.5;13.3;724;0.0;0;1
159;"2015-06-08";0.0;12.0;0.0;1029.6;16.9;4.5;11.3;562;0.0;0;1
160;"2015-06-09";0.0;12.0;0.0;1028.9;16.5;8.0;11.9;125;0.0;0;1
161;"2015-06-10";0.0;12.0;0.0;1026.7;21.1;7.7;14.6;729;0.0;0;1
162;"2015-06-11";0.0;12.0;0.0;1020.6;22.6;7.4;15.8;925;0.0;0;1
163;"2015-06-12";0.0;8.0;0.0;1011.3;26.6;9.9;19.2;890;0.0;0;1
164;"2015-06-13";3.0;14.0;0.0;1006.7;26.0;14.1;19.0;331;0.0;0;1
165;"2015-06-14";0.2;12.0;0.0;1010.8;17.1;10.3;14.0;5;0.0;0;1
166;"2015-06-15";0.0;12.0;0.0;1019.4;17.0;6.0;11.8;573;0.0;0;1
167;"2015-06-16";0.3;8.0;0.0;1023.8;15.7;5.2;10.6;184;0.0;0;1
168;"2015-06-17";1.7;13.0;0.0;1020.0;21.0;3.8;13.9;538;0.0;0;1
169;"2015-06-18";1.1;13.0;0.0;1014.0;17.2;9.2;13.6;164;0.0;0;1
170;"2015-06-19";1.6;14.0;0.0;1015.1;15.0;9.1;11.6;61;0.0;0;1
171;"2015-06-20";0.1;10.0;0.0;1017.8;15.5;8.8;11.9;41;0.0;0;1
172;"2015-06-21";1.9;10.0;0.0;1013.2;17.8;8.4;13.3;62;0.0;0;1
